,ATVI_x,ADBE_x,AMD_x,ALXN_x,ALGN_x,GOOGL_x,GOOG_x,AMZN_x,AEP_x,AMGN_x,ADI_x,ANSS_x,AAPL_x,AMAT_x,ASML_x,ADSK_x,ADP_x,BIDU_x,BIIB_x,BKNG_x,AVGO_x,CDNS_x,CDW_x,CERN_x,CHTR_x,CHKP_x,CTAS_x,CSCO_x,CTSH_x,CMCSA_x,CPRT_x,COST_x,CSX_x,DXCM_x,DLTR_x,EBAY_x,EA_x,EXC_x,FB_x,FAST_x,FISV_x,GILD_x,IDXX_x,ILMN_x,INCY_x,INTC_x,INTU_x,ISRG_x,JD_x,KDP_x,KLAC_x,LRCX_x,LULU_x,MAR_x,MRVL_x,MTCH_x,MXIM_x,MELI_x,MCHP_x,MU_x,MSFT_x,MDLZ_x,MNST_x,NTES_x,NFLX_x,NVDA_x,NXPI_x,ORLY_x,PCAR_x,PAYX_x,PEP_x,QCOM_x,REGN_x,ROST_x,SGEN_x,SIRI_x,SWKS_x,SPLK_x,SBUX_x,SNPS_x,TMUS_x,TSLA_x,TXN_x,TCOM_x,VRSN_x,VRSK_x,VRTX_x,WBA_x,WDAY_x,XEL_x,XLNX_x
AAPL_y,0.21966666666666668,0.029333333333333333,0.09286666666666667,0.1911333333333333,0.15846666666666667,0.009,0.0087,0.0131,0.24539999999999998,0.16506666666666667,0.029266666666666667,0.10300000000000002,1.0,0.0056,0.0815,0.23939999999999997,0.024466666666666664,0.017866666666666666,0.13803333333333334,0.06606666666666666,0.14723333333333335,0.028266666666666666,0.5369333333333334,0.022166666666666668,0.08703333333333334,0.024633333333333337,0.10796666666666666,0.09160000000000001,0.17606666666666668,0.0602,0.2975333333333333,0.24983333333333332,0.0861,0.2570666666666667,0.04503333333333334,0.022966666666666666,0.08373333333333333,0.038233333333333334,0.011433333333333332,0.06649999999999999,0.03206666666666667,0.31483333333333335,0.0166,0.0323,0.1707,0.0092,0.13846666666666668,0.04246666666666667,0.16413333333333335,0.0768,0.0020666666666666667,0.0,0.13523333333333334,0.07916666666666666,0.0378,0.0953,0.012466666666666666,0.029233333333333337,0.11563333333333332,0.061,0.007766666666666667,0.20633333333333334,0.09116666666666666,0.21633333333333335,0.013133333333333332,0.104,0.2352,0.033966666666666666,0.21586666666666665,0.17123333333333335,0.056966666666666665,0.04703333333333334,0.03453333333333333,0.25656666666666667,0.04446666666666666,0.24326666666666666,0.10146666666666666,0.09636666666666667,0.09623333333333334,0.1636,0.010133333333333333,0.020666666666666667,0.008133333333333333,0.21446666666666667,0.0322,0.0907,0.0916,0.5204333333333334,0.0506,0.11633333333333334,0.04586666666666667
ADBE_y,0.1253,1.0,0.07836666666666667,0.06063333333333334,0.20266666666666666,0.12486666666666667,0.10346666666666667,0.09136666666666667,0.1314,0.0347,0.16126666666666667,0.12946666666666665,0.0038666666666666663,0.018066666666666665,0.023633333333333336,0.013999999999999999,0.28950000000000004,0.14286666666666667,0.0344,0.11046666666666666,0.04086666666666667,0.16403333333333334,0.2504,0.3572333333333333,0.13676666666666668,0.20143333333333335,0.21719999999999998,0.008266666666666667,0.08873333333333333,0.0212,0.1495,0.029833333333333333,0.08906666666666667,0.0659,0.09273333333333333,0.15383333333333332,0.26453333333333334,0.14496666666666666,0.03473333333333333,0.07973333333333334,0.05399999999999999,0.11323333333333334,0.13736666666666666,0.2824,0.15130000000000002,0.0329,0.3602666666666667,0.0605,0.020599999999999997,0.20463333333333333,0.12823333333333334,0.24019999999999997,0.1832,0.0405,0.09733333333333333,0.21720000000000003,0.012766666666666667,0.0023,0.07346666666666667,0.21140000000000003,0.18256666666666665,0.1706,0.09666666666666666,0.23503333333333332,0.10126666666666667,0.0023666666666666667,0.17103333333333334,0.09176666666666666,0.1444,0.11546666666666666,0.16743333333333332,0.0564,0.15996666666666667,0.07133333333333333,0.17173333333333332,0.20943333333333333,0.0109,0.1168,0.025366666666666666,0.03836666666666667,0.16570000000000001,0.07216666666666667,0.11036666666666667,0.056799999999999996,0.18763333333333332,0.0241,0.18216666666666667,0.18113333333333334,0.07003333333333334,0.06449999999999999,0.11003333333333333
ADI_y,0.12383333333333334,0.08803333333333334,0.15916666666666665,0.0242,0.023733333333333332,0.23953333333333335,0.26099999999999995,0.06543333333333333,0.19283333333333333,0.06216666666666667,1.0,0.09933333333333334,0.1093,0.12076666666666667,0.02466666666666667,0.0946,0.09870000000000001,0.107,0.16983333333333336,0.41276666666666667,0.06303333333333333,0.31016666666666665,0.11656666666666665,0.1626,0.020666666666666667,0.07303333333333334,0.002,0.11816666666666666,0.06336666666666667,0.0023,0.06076666666666667,0.2548333333333333,0.053366666666666666,0.2000333333333333,0.27353333333333335,0.07316666666666667,0.1873,0.08666666666666667,0.11123333333333334,0.26033333333333336,0.06526666666666667,0.3867,0.0459,0.20013333333333336,0.07730000000000001,0.0005333333333333334,0.25403333333333333,0.09086666666666667,0.15719999999999998,0.015700000000000002,0.002166666666666667,0.0492,0.16653333333333334,0.07893333333333334,0.037566666666666665,0.16406666666666667,0.045899999999999996,0.07596666666666667,0.11843333333333333,0.0306,0.2597333333333333,0.19093333333333337,0.24449999999999997,0.03336666666666666,0.1134,0.06286666666666667,0.106,0.027666666666666662,0.09223333333333333,0.09416666666666668,0.009233333333333333,0.022699999999999998,0.05293333333333334,0.08796666666666665,0.04516666666666666,0.23650000000000002,0.003433333333333333,0.19740000000000002,0.14313333333333333,0.11593333333333333,0.09076666666666666,0.04776666666666667,0.11706666666666665,0.12133333333333333,0.1628,0.12036666666666668,0.10326666666666667,0.2023,0.21736666666666668,0.11103333333333333,0.0008666666666666666
ADP_y,0.0867,0.09330000000000001,0.1749666666666667,0.09573333333333334,0.05996666666666667,0.0002666666666666667,0.00016666666666666666,0.3026333333333333,0.09786666666666666,0.006366666666666666,0.03543333333333334,0.208,0.17096666666666668,0.09256666666666667,0.15926666666666667,0.2732666666666667,1.0,0.025033333333333335,0.3149666666666666,0.07440000000000001,0.012533333333333334,0.26313333333333333,0.18436666666666665,0.20146666666666668,0.15009999999999998,0.0104,0.2942666666666666,0.2037,0.11243333333333333,0.08606666666666667,0.1252,0.2045,0.22573333333333334,0.04156666666666667,0.026933333333333333,0.058633333333333336,0.2905333333333333,0.03733333333333333,0.04156666666666666,0.07423333333333333,0.08310000000000001,0.07383333333333333,0.008,0.07426666666666666,0.10003333333333335,0.05736666666666667,0.014733333333333334,0.06996666666666666,0.2883,0.09746666666666666,0.0012333333333333335,0.0944,0.24396666666666667,0.247,0.1909,0.021099999999999997,0.05756666666666666,0.1348,0.08156666666666666,0.13396666666666665,0.08193333333333334,0.07506666666666667,0.18820000000000003,0.20493333333333333,0.004533333333333333,0.21073333333333333,0.0016333333333333332,0.16343333333333332,0.09263333333333333,0.1828,0.0456,0.0015666666666666667,0.039200000000000006,0.1432,0.08863333333333333,0.014166666666666666,0.0059,0.17756666666666665,0.0016,0.23873333333333335,0.15173333333333333,0.20320000000000002,0.038566666666666666,0.08873333333333333,0.14136666666666667,0.19273333333333334,0.2745,0.29856666666666665,0.04576666666666667,0.26616666666666666,0.037200000000000004
ADSK_y,0.10160000000000001,0.0354,0.0206,0.07013333333333334,0.030833333333333334,0.021133333333333334,0.0175,0.11869999999999999,0.11116666666666665,0.037,0.0474,0.07076666666666666,0.008366666666666666,0.002033333333333333,0.0122,1.0,0.23383333333333334,0.012833333333333334,0.09246666666666666,0.0070999999999999995,0.019766666666666665,0.09913333333333334,0.05043333333333334,0.06476666666666667,0.2806,0.027666666666666662,0.022333333333333334,0.02173333333333333,0.032999999999999995,0.16793333333333335,0.0034333333333333334,0.019233333333333335,0.28453333333333336,0.0687,0.14163333333333333,0.08276666666666667,0.10023333333333334,0.013333333333333334,0.08983333333333332,0.04676666666666666,0.18053333333333335,0.14053333333333332,0.23173333333333335,0.0909,0.028266666666666666,0.09689999999999999,0.07503333333333333,0.11426666666666667,0.010199999999999999,0.12546666666666664,0.057566666666666676,0.0304,0.13649999999999998,0.010633333333333333,0.0070999999999999995,0.0853,0.027066666666666666,0.0008666666666666666,0.07176666666666667,0.08863333333333334,0.005166666666666667,0.20373333333333332,0.09323333333333333,0.03203333333333334,0.012333333333333333,0.030033333333333332,0.08143333333333334,0.05436666666666667,0.005933333333333333,0.06903333333333334,0.24619999999999997,0.0977,0.0055000000000000005,0.047966666666666664,0.0105,0.16383333333333336,0.04826666666666667,0.019533333333333333,0.12446666666666667,0.02836666666666667,0.16876666666666665,0.03886666666666667,0.016966666666666668,0.02476666666666667,0.018600000000000002,0.10709999999999999,0.06116666666666667,0.22463333333333332,0.026399999999999996,0.0582,0.03256666666666667
AEP_y,0.13763333333333336,0.0176,0.05423333333333333,0.04713333333333333,0.06603333333333333,0.04533333333333334,0.0826,0.020633333333333333,1.0,0.0821,0.11006666666666666,0.04763333333333333,0.09133333333333332,0.11996666666666667,0.04723333333333333,0.14793333333333333,0.12603333333333333,0.0589,0.18853333333333333,0.23770000000000002,0.031933333333333334,0.0304,0.12413333333333333,0.1355333333333333,0.06503333333333333,0.025866666666666666,0.1363,0.1907333333333333,0.012866666666666667,0.05276666666666666,0.036199999999999996,0.028766666666666666,0.0356,0.10959999999999999,0.1946,0.16243333333333335,0.2689666666666667,0.020566666666666667,0.06636666666666667,0.19446666666666668,0.057100000000000005,0.0361,0.10113333333333334,0.12046666666666667,0.2730666666666667,0.017133333333333334,0.06696666666666666,0.0988,0.17486666666666664,0.4330333333333333,0.09266666666666666,0.06076666666666667,0.12443333333333333,0.024966666666666668,0.06999999999999999,0.016466666666666668,0.20376666666666665,0.0438,0.1657,0.17746666666666666,0.024866666666666665,0.075,0.161,0.065,0.027,0.08800000000000001,0.20783333333333334,0.056799999999999996,0.09053333333333334,0.16473333333333334,0.018966666666666666,0.06203333333333333,0.07130000000000002,0.28376666666666667,0.2117,0.07336666666666666,0.12453333333333333,0.05619999999999999,0.12993333333333332,0.06673333333333333,0.05859999999999999,0.04766666666666667,0.2427,0.3085333333333333,0.20233333333333334,0.017166666666666667,0.2221,0.2634666666666667,0.02463333333333333,0.043166666666666666,0.1141
ALGN_y,0.0509,0.13126666666666667,0.053266666666666664,0.024533333333333334,1.0,0.027900000000000005,0.014033333333333333,0.014599999999999997,0.17653333333333332,0.14526666666666666,0.04990000000000001,0.0846,0.08876666666666666,0.044500000000000005,0.07056666666666667,0.12106666666666666,0.07083333333333333,0.08606666666666667,0.028,0.1751,0.009600000000000001,0.0131,0.17236666666666667,0.1808,0.0863,0.02033333333333333,0.1702,0.27526666666666666,0.2922666666666667,0.042699999999999995,0.03733333333333333,0.05793333333333333,0.009066666666666666,0.06866666666666667,0.021266666666666666,0.0010666666666666667,0.266,0.15833333333333333,0.062400000000000004,0.09989999999999999,0.24739999999999998,0.10343333333333334,0.10383333333333333,0.05396666666666666,0.040799999999999996,0.05553333333333333,0.08546666666666668,0.0003,0.03273333333333333,0.03406666666666667,0.0026,0.042199999999999994,0.14313333333333333,0.0933,0.0042,0.13166666666666668,0.11420000000000001,0.1591,0.23403333333333334,0.22516666666666665,0.017166666666666667,0.20879999999999999,0.5128666666666667,0.027400000000000004,0.0246,0.29860000000000003,0.19516666666666668,0.10103333333333335,0.0582,0.06746666666666667,0.11266666666666665,0.045033333333333335,0.10023333333333333,0.034499999999999996,0.056799999999999996,0.17643333333333333,0.13993333333333333,0.09456666666666667,0.014266666666666669,0.1075,0.03216666666666667,0.0976,0.09663333333333333,0.0222,0.0726,0.19356666666666666,0.030766666666666668,0.039766666666666665,0.10076666666666667,0.3164,0.005399999999999999
ALXN_y,0.16133333333333333,0.06979999999999999,0.049800000000000004,1.0,0.0034666666666666665,0.0456,0.049433333333333336,0.06673333333333333,0.042300000000000004,0.3015666666666667,0.09043333333333332,0.06656666666666666,0.20909999999999998,0.049600000000000005,0.023933333333333334,0.03053333333333333,0.20036666666666667,0.0962,0.23410000000000006,0.06733333333333334,0.13023333333333334,0.012933333333333333,0.19933333333333333,0.10586666666666668,0.04516666666666667,0.044033333333333334,0.14126666666666668,0.09666666666666666,0.0131,0.13163333333333332,0.016633333333333333,0.1083,0.024733333333333333,0.05363333333333333,0.10383333333333333,0.010733333333333333,0.011466666666666667,0.14316666666666664,0.1114,0.15356666666666666,0.054366666666666674,0.09963333333333334,0.016233333333333332,0.014633333333333333,0.025033333333333335,0.013466666666666667,0.15566666666666665,0.0299,0.08006666666666666,0.02723333333333333,0.014933333333333333,0.13136666666666666,0.0847,0.23333333333333336,0.0672,0.17446666666666666,0.12006666666666667,0.0005333333333333333,0.10926666666666666,0.2177,0.06433333333333334,0.07006666666666667,0.08353333333333333,0.12053333333333334,0.0976,0.031266666666666665,0.07706666666666666,0.12296666666666667,0.14923333333333333,0.08546666666666668,0.06999999999999999,0.024800000000000003,0.014133333333333333,0.13296666666666668,0.06856666666666668,0.05853333333333333,0.015266666666666666,0.2664666666666667,0.0197,0.0504,0.04103333333333333,0.0095,0.12069999999999999,0.0598,0.051300000000000005,0.053899999999999997,0.01576666666666667,0.009533333333333333,0.0757,0.21739999999999995,0.016833333333333336
AMAT_y,0.09903333333333332,0.24350000000000002,0.06686666666666667,0.18086666666666665,0.05463333333333333,0.014766666666666666,0.0138,0.011233333333333333,0.03496666666666667,0.021500000000000002,0.16280000000000003,0.04843333333333333,0.08663333333333334,1.0,0.18259999999999998,0.1203,0.2962,0.0506,0.0634,0.011566666666666668,0.17683333333333331,0.20453333333333332,0.3481,0.21436666666666668,0.16386666666666666,0.05333333333333334,0.025499999999999995,0.13849999999999998,0.06753333333333333,0.11193333333333333,0.2561666666666667,0.12446666666666667,0.17689999999999997,0.003533333333333333,0.049499999999999995,0.048966666666666665,0.14556666666666665,0.004733333333333333,0.10343333333333334,0.026633333333333332,0.11573333333333331,0.2781666666666667,0.2333333333333333,0.13670000000000002,0.0424,0.1135,0.11266666666666665,0.017366666666666666,0.03,0.045433333333333326,0.1645,0.15876666666666667,0.1796,0.13943333333333333,0.16303333333333334,0.004566666666666667,0.32783333333333337,0.08466666666666667,0.2614,0.2763333333333333,0.05003333333333334,0.3899333333333333,0.09633333333333333,0.17479999999999998,0.14523333333333333,0.06296666666666666,0.2037,0.05903333333333333,0.025866666666666666,0.0628,0.24743333333333337,0.32326666666666665,0.011500000000000002,0.11213333333333332,0.005033333333333333,0.2247,0.1085,0.19253333333333336,0.08879999999999999,0.3721666666666667,0.04613333333333333,0.18603333333333336,0.11153333333333333,0.010233333333333332,0.1565,0.13573333333333334,0.0822,0.19636666666666666,0.12713333333333332,0.07083333333333332,0.0582
AMD_y,0.07743333333333334,0.018233333333333334,1.0,0.4090333333333333,0.006933333333333333,0.015,0.021233333333333337,0.06736666666666667,0.02613333333333334,0.09663333333333333,0.12176666666666665,0.024900000000000002,0.015166666666666667,0.026266666666666664,0.23939999999999997,0.13453333333333334,0.09366666666666666,0.0388,0.028,0.0020666666666666667,0.12596666666666667,0.12196666666666667,0.15183333333333335,0.09699999999999999,0.13146666666666668,0.07763333333333333,0.0459,0.16716666666666669,0.27233333333333337,0.043966666666666675,0.0953,0.051333333333333335,0.23140000000000002,0.0085,0.0030666666666666668,0.011633333333333334,0.14393333333333333,0.009966666666666667,0.007466666666666667,0.0415,0.0525,0.22743333333333335,0.06513333333333333,0.27353333333333335,0.2045,0.13226666666666667,0.028766666666666666,0.08536666666666666,0.0033666666666666667,0.12236666666666667,0.0166,0.1109,0.07356666666666667,0.020666666666666667,0.11333333333333333,0.07796666666666667,0.11146666666666667,0.010866666666666669,0.0477,0.04976666666666666,0.03253333333333333,0.1322,0.13073333333333334,0.19776666666666665,0.006600000000000001,0.041666666666666664,0.0888,0.11196666666666667,0.013333333333333334,0.23876666666666665,0.010233333333333332,0.14586666666666667,0.06736666666666667,0.045433333333333326,0.3651,0.12893333333333334,0.14966666666666667,0.0277,0.0024333333333333334,0.0317,0.009566666666666666,0.031200000000000002,0.25189999999999996,0.015,0.007466666666666667,0.0795,0.03096666666666667,0.0898,0.1564,0.029833333333333333,0.009333333333333332
